epoch,train_loss,valid_loss,roc_auc_score,roc_auc_score,time
0,0.35847967863082886,0.3681703805923462,[0.39497303 0.85335923 0.77766609 0.76948143 0.68955176 0.74147822 0.86011535 0.71658719 0.63753576 0.68555996 0.8594662 0.57732089 0.80645762 0.64760331],0.711588831589351,07:19
1,0.36096057295799255,0.36973831057548523,[0.38164999 0.84961821 0.77782354 0.77125303 0.69509337 0.73703528 0.85052897 0.72315532 0.6209605  0.68148477 0.84910641 0.54833846 0.80048236 0.61995621],0.7035725347785531,07:19
2,0.3600459098815918,0.36981600522994995,[0.44946798 0.84743585 0.78050093 0.76782503 0.73110502 0.73322513 0.85063962 0.74082144 0.63599603 0.6803148  0.85107703 0.66827884 0.82719572 0.62583598],0.7250844441392752,07:21
3,0.35739439725875854,0.3706316351890564,[0.40375568 0.84942709 0.77955964 0.76996619 0.7128319  0.73318674 0.85089614 0.72281057 0.63297102 0.67713923 0.84559762 0.5836521 0.81331159 0.64769062],0.7124929445774449,07:20
4,0.3537946045398712,0.3730822503566742,[0.40355491 0.84501299 0.77289737 0.76835085 0.71917212 0.73004147 0.84582075 0.71165387 0.6117845  0.66973319 0.84472691 0.60641073 0.82839227 0.64987392],0.7116040933401329,07:19
5,0.34749823808670044,0.3759332597255707,[0.45799973 0.83622752 0.77060094 0.76672529 0.67372973 0.72554858 0.8442961  0.72124196 0.6424905  0.65435011 0.83868397 0.65529791 0.79707694 0.63828206],0.713285618259503,07:21
6,0.3432875871658325,0.3824205994606018,[0.42591016 0.83415526 0.77323229 0.7645193  0.69895639 0.71433996 0.83953365 0.71517845 0.62568152 0.64614097 0.83597029 0.5712543 0.7994068  0.64102267],0.703169397139151,07:23
7,0.33369505405426025,0.38636672496795654,[0.40631169 0.82548987 0.76646331 0.76429593 0.67637448 0.71459331 0.83938717 0.70603561 0.62792299 0.63979648 0.8356138  0.59280052 0.79607467 0.62797287],0.6983889741101176,07:20
8,0.3304377794265747,0.38918155431747437,[0.4184364  0.82311442 0.76641654 0.76354824 0.69448543 0.70709167 0.83420388 0.71042144 0.63591876 0.63511835 0.83367005 0.59082499 0.79655142 0.62704828],0.6999594003424027,07:19
9,0.3275848627090454,0.3902674615383148,[0.41973119 0.82073512 0.76530536 0.76278344 0.69608026 0.70565098 0.8338553  0.7136288  0.63679949 0.63499093 0.83224954 0.58862429 0.79827836 0.62365049],0.6996752739210339,07:20
